,bin_num,pos_count,neg_count,neu_count,subjectivity,polarity,subj_log2,pol_log2
0,1.0,91419.0,112061.0,100918.0,2.0162904536356248,0.8157967535538679,1.0117034790344952,-0.29371832892026833
1,2.0,18079.0,22958.0,32216.0,1.273808045691582,0.787481487934489,0.3491478895301287,-0.34468208577350706
2,3.0,11726.0,14440.0,20431.0,1.2807008956977142,0.8120498614958449,0.3569335774130195,-0.3003597803780602
3,4.0,7517.0,10183.0,15396.0,1.1496492595479346,0.7381911028184228,0.20119378404688357,-0.4379337455415712
4,5.0,15038.0,19985.0,18782.0,1.8647108934085828,0.7524643482611959,0.8989519709752691,-0.41030486624457363
5,6.0,13741.0,18898.0,17558.0,1.8589247066864107,0.7271139803153773,0.8944683369653234,-0.45974656025198557
6,7.0,11642.0,15496.0,17243.0,1.5738560575305922,0.7512906556530717,0.6543036001955492,-0.4125569363553375
7,8.0,27665.0,27491.0,26801.0,2.057982911085407,1.0063293441489942,1.0412310025454397,0.009102537162640693
8,9.0,21761.0,27663.0,20941.0,2.3601547204049473,0.7866464230199183,1.2388814388431977,-0.3462127671313589
9,10.0,15194.0,20191.0,21493.0,1.6463499744102732,0.7525134961121291,0.7192710506300507,-0.410210638464275
10,11.0,9002.0,12062.0,16917.0,1.2451380268369097,0.74631072790582,0.3163056777115355,-0.4221516704744758
11,12.0,8760.0,9822.0,12849.0,1.4461825823021246,0.8918753817959683,0.5322497057836206,-0.16508595270677384
12,13.0,30788.0,28570.0,29980.0,1.9799199466310875,1.0776338816940847,0.9854420995305718,0.1078671161426201
13,14.0,25560.0,31646.0,25929.0,2.206255543985499,0.8076850154837895,1.1415999036621576,-0.30813532071921357
14,15.0,24299.0,26397.0,24233.0,2.092023274047786,0.9205212713565936,1.0648989018556694,-0.11947703520669606
15,16.0,25827.0,27153.0,25469.0,2.080175900113864,0.9511656170588885,1.0567055281222468,-0.07223152971461343
16,17.0,16942.0,20722.0,21024.0,1.791476407914764,0.8175851751761413,0.8411490447161145,-0.2905590579730898
17,18.0,18814.0,27000.0,20627.0,2.221069472051195,0.6968148148148148,1.1512545191416432,-0.521152797826794
18,19.0,15007.0,18101.0,18835.0,1.757791345898593,0.8290702171150766,0.8137638292396742,-0.270433800652749
19,20.0,11367.0,12267.0,16153.0,1.4631337831981674,0.9266324284666178,0.5490616898675953,-0.10993092301765724
20,21.0,13688.0,13137.0,15546.0,1.7255242506110897,1.0419426048565121,0.7870347496299962,0.05927580931560616
