,bin_num,pos_count,neg_count,neu_count,subjectivity,polarity,subj_log2,pol_log2
0,1.0,101120.0,124176.0,116513.0,1.9336554719215882,0.8143280505089551,0.951330766258258,-0.29631799634143186
1,2.0,14089.0,17811.0,26415.0,1.2076471701684648,0.791028016394363,0.2721990140998671,-0.3381993023417268
2,3.0,9321.0,11833.0,17714.0,1.1941966805916224,0.7877123299247866,0.2560404636935855,-0.34425923673329445
3,4.0,10980.0,14496.0,16730.0,1.5227734608487746,0.7574503311258278,0.6067013317008189,-0.4007768061536741
4,5.0,14314.0,19791.0,17907.0,1.9045624616071928,0.7232580465868323,0.9294596029830399,-0.46741762598054504
5,6.0,11719.0,15414.0,17046.0,1.5917517306112872,0.7602828597379007,0.6706153327739497,-0.3953918284107256
6,7.0,11708.0,15697.0,15548.0,1.762606122974016,0.7458750079633051,0.81771012189681,-0.4229942077043102
7,8.0,30765.0,31492.0,28801.0,2.1616263324190133,0.9769147720055887,1.1121171544519077,-0.033695390798386494
8,9.0,20946.0,27014.0,19474.0,2.462770873985827,0.7753757311023913,1.3002824117017429,-0.3670325147713943
9,10.0,13941.0,18548.0,25816.0,1.258483111248838,0.7516174250593056,0.33168585576703863,-0.4119295811426447
10,11.0,7139.0,8991.0,12644.0,1.275703891173679,0.7940162384606829,0.3512934981385064,-0.3327595825982949
11,12.0,9645.0,10786.0,11685.0,1.7484809584937955,0.8942147227888003,0.8061020847195548,-0.1613067955740942
12,13.0,34557.0,33047.0,34744.0,1.9457748100391434,1.0456924985626532,0.9603447526479446,0.06445866800889638
13,14.0,28113.0,34163.0,27290.0,2.282008061561011,0.8229078242543102,1.190303888188185,-0.28119725468845164
14,15.0,23365.0,25120.0,22760.0,2.1302724077328645,0.9301353503184714,1.0910379262993724,-0.10448742702682731
15,16.0,23788.0,25874.0,25379.0,1.9568146893100595,0.9193785267063461,0.9685071389632369,-0.12126912437768106
16,17.0,17434.0,24086.0,20636.0,2.0120178329133553,0.7238229676990783,1.0086430920925695,-0.4662912081497703
17,18.0,17076.0,22507.0,19163.0,2.0655951573344464,0.7586972941751455,1.046557523448597,-0.39840370239645073
18,19.0,13664.0,15418.0,19292.0,1.5074642338793283,0.8862368660007783,0.5921237731256609,-0.1742357530666054
19,20.0,9809.0,10400.0,12794.0,1.579568547756761,0.943173076923077,0.6595305463680374,-0.08440555801999494
20,21.0,12790.0,11917.0,14126.0,1.7490443154466941,1.0732566921205002,0.8065668432133858,0.1019951685080369
